key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_7.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
j,0,18,18,0,1,61311fd128819c143e3409f9,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.36,,,,,,,,
f,0,19,19,4,1,61311fd128819c143e3409f9,OOOROOO,OOOROOR,19.91402015,21.21223021,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.948,,,,,,,,
f,0,20,20,8,1,61311fd128819c143e3409f9,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.007,,,,,,,,
j,0,21,21,44,1,61311fd128819c143e3409f9,RORROOO,RORROOR,21.66733484,22.02566557,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.991,,,,,,,,
j,0,22,22,40,1,61311fd128819c143e3409f9,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.348,,,,,,,,
j,0,23,23,29,1,61311fd128819c143e3409f9,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.149,,,,,,,,
f,0,24,24,30,1,61311fd128819c143e3409f9,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.1,,,,,,,,
f,0,25,25,59,1,61311fd128819c143e3409f9,RRRORRO,RRRORRR,21.56657303,20.89823192,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.86,,,,,,,,
j,0,26,26,47,1,61311fd128819c143e3409f9,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.674,,,,,,,,
j,0,27,27,10,1,61311fd128819c143e3409f9,OOROROO,OOROROR,21.31236711,21.07490964,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.102,,,,,,,,
