key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
"[""comma""]",0,[0.9700999999940478],0,0,0,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.3789000000059559],1,0,1,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.35129999999701056],2,0,2,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.3067000000029907],3,0,3,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.3397999999970267],4,0,4,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.267799999997024],5,0,5,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.25149999999999295],6,0,6,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.2753999999910519],7,0,7,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.2532000000029768],8,0,8,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.2604999999999933],9,0,9,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.2365000000000066],10,0,10,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.3332000000029751],11,0,11,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.38450000000000273],12,0,12,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.30939999999105794],13,0,13,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.26970000000298455],14,0,14,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.30100000000000193],15,0,15,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma"",""period""]",0,"[0.2612000000029866,0.2775000000000034]",16,0,16,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.2620999999940494],17,0,17,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.1847000000029908],18,0,18,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.11040000000595285],19,0,19,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.07090000000594898],20,0,20,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.2550999999940444],21,0,21,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.26759999999403306],22,0,22,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.25549999999999784],23,0,23,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.2672999999970216],24,0,24,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.31119999998807657],25,0,25,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.2797000000030039],26,0,26,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""period""]",0,[0.26809999999403544],27,0,27,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
"[""comma""]",0,[0.28819999998808044],28,0,28,0,1,60edbdf42216cc299770590c,Mężczyzna,22,2021-07-13_21h05.39.624,rantool2,2021.1.4,Win32,60.11060351,60edbdf42216cc299770590c,60d9d14f4a8a35a482e0d9bf,60ede371d734d3c9fd8d7691,,,,,,,,,,,,
