key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID
"[""comma""]",0,[0.6336999998092665],0,0,0,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""comma""]",0,[0.42290000009536755],1,0,1,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""period""]",0,[0.302900000095363],2,0,2,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""comma"",""comma""]",0,"[0.06650000000000489,0.6172999999523228]",3,0,3,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""period""]",0,[0.32459999990463473],4,0,4,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""period""]",0,[0.25820000004769383],5,0,5,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""comma""]",0,[0.2566000001430524],6,0,6,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""period"",""comma""]",0,"[0.2671000001430457,1.468100000143039]",7,0,7,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""comma""]",0,[0.09229999995231708],8,0,8,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""period""]",0,[0.21820000004768758],9,0,9,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
"[""comma""]",0,[0.417500000000004],10,0,10,0,1,60e46849a6a53ab857bae26f,Mężczyzna,22,2021-07-13_22h14.35.277,rantool2,2021.1.4,Win32,59.75143403,60e46849a6a53ab857bae26f,60d9d14f4a8a35a482e0d9bf,60edf413f7d73cfac4b82df3
