key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID
f,2.8454,0,0,0,21,1,5fb1eae625a37f74fa1f4630,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
j,0.2787,0,1,1,6,1,5fb1eae625a37f74fa1f4630,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
f,0.215,0,2,2,35,1,5fb1eae625a37f74fa1f4630,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
j,0.1469,0,3,3,20,1,5fb1eae625a37f74fa1f4630,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
f,0.1429,0,4,4,46,1,5fb1eae625a37f74fa1f4630,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
j,0.1535,0,5,5,22,1,5fb1eae625a37f74fa1f4630,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
f,0.1151,0,6,6,50,1,5fb1eae625a37f74fa1f4630,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
f,0.3512,0,7,7,9,1,5fb1eae625a37f74fa1f4630,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
j,0.3029,0,8,8,62,1,5fb1eae625a37f74fa1f4630,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
f,0.4027,0,9,9,36,1,5fb1eae625a37f74fa1f4630,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,5fb1eae625a37f74fa1f4630,Mężczyzna,19,2021-09-06_19h23.10.068,rantool2,2021.1.4,Win32,59.90534955,6135e006383e6ea6c3d06a28,61364dc91df16449a5127632
