key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison,key_resp_7.rt
"[""comma""]",0,[0.5533999996185344],19,0,19,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.9680000000000035],20,0,20,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.3346999998092599],21,0,21,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.305499999999995],22,0,22,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.2983000001907641],23,0,23,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.27519999980927423],24,0,24,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.3863999996185328],25,0,25,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.5099000005722019],26,0,26,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2696999998092622],27,0,27,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2580000000000098],28,0,28,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.2919000005721841],29,0,29,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.29339999961854346],30,0,30,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.34109999942779723],31,0,31,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2525999994278152],32,0,32,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
