key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
0,,,0,0,0,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma""]",0,[0.7994999999999948],1,0,1,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""period""]",0,[0.3076000000089465],2,0,2,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""period""]",0,[0.37040000000595796],3,0,3,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma"",""period""]",0,"[0.32939999999105396,1.9511999999880771]",4,0,4,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
0,0,,5,0,5,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""period""]",0,[0.4055000000000035],6,0,6,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""period""]",0,[0.3131999999880719],7,0,7,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma""]",0,[0.3969000000059708],8,0,8,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma""]",0,[0.30170000000298103],9,0,9,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma""]",0,[0.27559999999404283],10,0,10,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma"",""period""]",0,"[0.1834999999999951,1.9672000000029755]",11,0,11,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
0,0,,12,0,12,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""period""]",0,[0.28320000000297796],13,0,13,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
"[""comma""]",0,[0.22979999999701306],14,0,14,0,1,60ec969b09a3b53f4c7f9ab9,Kobieta,24,2021-07-13_21h39.33.334,rantool2,2021.1.4,Win32,58.92751915,60ec969b09a3b53f4c7f9ab9,60d9d14f4a8a35a482e0d9bf,60edebdf7f77d6cca424f79c,,,,,,,,,,,,
