key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,18,18,35,1,5f19902fd2b95f025c1b0ff3,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,19,19,41,1,5f19902fd2b95f025c1b0ff3,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,20,20,21,1,5f19902fd2b95f025c1b0ff3,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,21,21,58,1,5f19902fd2b95f025c1b0ff3,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,22,22,13,1,5f19902fd2b95f025c1b0ff3,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,23,23,40,1,5f19902fd2b95f025c1b0ff3,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,24,24,8,1,5f19902fd2b95f025c1b0ff3,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,25,25,54,1,5f19902fd2b95f025c1b0ff3,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,26,26,18,1,5f19902fd2b95f025c1b0ff3,OROOROO,OROOROR,20.84860893,21.22513037,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,27,27,16,1,5f19902fd2b95f025c1b0ff3,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,28,28,57,1,5f19902fd2b95f025c1b0ff3,RRROORO,RRROORR,21.82425538,22.07102821,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,29,29,11,1,5f19902fd2b95f025c1b0ff3,OORORRO,OORORRR,22.18365867,22.6797523,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,30,30,31,1,5f19902fd2b95f025c1b0ff3,ORRRRRO,ORRRRRR,22.16413392,20.74050628,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,31,31,39,1,5f19902fd2b95f025c1b0ff3,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,32,32,0,1,5f19902fd2b95f025c1b0ff3,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
