key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID
"[""comma""]",0,[0.8295999999046302],0,0,0,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""period""]",0,[0.720600000143051],1,0,1,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""comma""]",0,[0.4710999999046379],2,0,2,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""period""]",0,[0.9649000000953691],3,0,3,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""comma""]",0,[0.39489999985696045],4,0,4,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""period""]",0,[0.7697999999523262],5,0,5,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""comma""]",0,[0.46089999985694874],6,0,6,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""comma""]",0,[0.34820000004768303],7,0,7,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""comma""]",0,[0.616299999952318],8,0,8,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
"[""period"",""comma""]",0,"[0.27990000009536686,1.855200000047688]",9,0,9,0,1,603827f465fbaa1d6a69de57,Kobieta,20,2021-07-13_20h23.18.370,rantool2,2021.1.4,Win32,144.1129846,603827f465fbaa1d6a69de57,60d9d14f4a8a35a482e0d9bf,60ede809c55c20183568ddca
