key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID
j,1.6239,0,19,19,35,1,5f34450f7e8a1018defb8934,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.2127,0,20,20,9,1,5f34450f7e8a1018defb8934,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.476,0,21,21,55,1,5f34450f7e8a1018defb8934,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.658,0,22,22,48,1,5f34450f7e8a1018defb8934,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,0.9902,0,23,23,63,1,5f34450f7e8a1018defb8934,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.2881,0,24,24,40,1,5f34450f7e8a1018defb8934,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,0.9749,0,25,25,46,1,5f34450f7e8a1018defb8934,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.0903,0,26,26,0,1,5f34450f7e8a1018defb8934,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.9228,0,27,27,56,1,5f34450f7e8a1018defb8934,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.3888,0,28,28,58,1,5f34450f7e8a1018defb8934,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.0708,0,29,29,54,1,5f34450f7e8a1018defb8934,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.0137,0,30,30,13,1,5f34450f7e8a1018defb8934,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.0919,0,31,31,28,1,5f34450f7e8a1018defb8934,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,0.9897,0,32,32,62,1,5f34450f7e8a1018defb8934,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.2718,0,33,33,3,1,5f34450f7e8a1018defb8934,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.0087,0,34,34,15,1,5f34450f7e8a1018defb8934,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.0038,0,35,35,41,1,5f34450f7e8a1018defb8934,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,0.9277,0,36,36,45,1,5f34450f7e8a1018defb8934,RORRORO,RORRORR,20.78182524,21.22513037,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,0.9389,0,37,37,50,1,5f34450f7e8a1018defb8934,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,0.8868,0,38,38,47,1,5f34450f7e8a1018defb8934,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.6005,0,39,39,1,1,5f34450f7e8a1018defb8934,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.1601,0,40,40,23,1,5f34450f7e8a1018defb8934,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.039,0,41,41,5,1,5f34450f7e8a1018defb8934,OOORORO,OOORORR,20.87963819,21.9921709,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,0.8567,0,42,42,49,1,5f34450f7e8a1018defb8934,RROOORO,RROOORR,21.76276513,22.53364006,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
,,0,43,43,21,1,5f34450f7e8a1018defb8934,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
,,0,44,44,6,1,5f34450f7e8a1018defb8934,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
