key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,3.099,0,0,0,62,1,5f7082bf1eac2964de164d15,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.665,0,1,1,34,1,5f7082bf1eac2964de164d15,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.069,0,2,2,7,1,5f7082bf1eac2964de164d15,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.819,0,3,3,58,1,5f7082bf1eac2964de164d15,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.957,0,4,4,49,1,5f7082bf1eac2964de164d15,RROOORO,RROOORR,21.76276513,22.53364006,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.969,0,5,5,15,1,5f7082bf1eac2964de164d15,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.785,0,6,6,44,1,5f7082bf1eac2964de164d15,RORROOO,RORROOR,21.66733484,22.02566557,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.951,0,7,7,42,1,5f7082bf1eac2964de164d15,ROROROO,ROROROR,20.39515459,19.8361834,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.953,0,8,8,8,1,5f7082bf1eac2964de164d15,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.508,0,9,9,51,1,5f7082bf1eac2964de164d15,RROORRO,RROORRR,21.89852628,22.02786418,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.783,0,10,10,43,1,5f7082bf1eac2964de164d15,RORORRO,RORORRR,20.71309134,21.07490964,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,3.017,0,11,11,53,1,5f7082bf1eac2964de164d15,RRORORO,RRORORR,20.71309134,21.90565814,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.613,0,12,12,25,1,5f7082bf1eac2964de164d15,ORROORO,ORROORR,21.79500819,22.61624387,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,3.321,0,13,13,37,1,5f7082bf1eac2964de164d15,ROORORO,ROORORR,20.42602454,21.57657071,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.685,0,14,14,54,1,5f7082bf1eac2964de164d15,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.873,0,15,15,40,1,5f7082bf1eac2964de164d15,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.672,0,16,16,23,1,5f7082bf1eac2964de164d15,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.825,0,17,17,39,1,5f7082bf1eac2964de164d15,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.431,0,18,18,63,1,5f7082bf1eac2964de164d15,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.32,0,19,19,26,1,5f7082bf1eac2964de164d15,ORROROO,ORROROR,22.02732763,21.71443381,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,3.654,0,20,20,29,1,5f7082bf1eac2964de164d15,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.887,0,21,21,32,1,5f7082bf1eac2964de164d15,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.408,0,22,22,22,1,5f7082bf1eac2964de164d15,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.506,0,23,23,12,1,5f7082bf1eac2964de164d15,OORROOO,OORROOR,21.30250474,22.02786418,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.238,0,24,24,28,1,5f7082bf1eac2964de164d15,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.49,0,25,25,50,1,5f7082bf1eac2964de164d15,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.867,0,26,26,9,1,5f7082bf1eac2964de164d15,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.191,0,27,27,47,1,5f7082bf1eac2964de164d15,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,2.087,0,28,28,19,1,5f7082bf1eac2964de164d15,OROORRO,OROORRR,21.73568164,22.11181017,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.872,0,29,29,20,1,5f7082bf1eac2964de164d15,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.881,0,30,30,3,1,5f7082bf1eac2964de164d15,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.95,0,31,31,13,1,5f7082bf1eac2964de164d15,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.618,0,32,32,57,1,5f7082bf1eac2964de164d15,RRROORO,RRROORR,21.82425538,22.07102821,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,2.118,0,33,33,55,1,5f7082bf1eac2964de164d15,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.717,0,34,34,6,1,5f7082bf1eac2964de164d15,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.822,0,35,35,14,1,5f7082bf1eac2964de164d15,OORRROO,OORRROR,22.24142883,22.16977179,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.067,0,36,36,46,1,5f7082bf1eac2964de164d15,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
j,1.38,0,37,37,60,1,5f7082bf1eac2964de164d15,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
f,1.222,0,38,38,16,1,5f7082bf1eac2964de164d15,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,5f7082bf1eac2964de164d15,Kobieta,27,2021-09-06_19h04.56.579,rantool2,2021.1.4,Win32,60.0240096,6135e006383e6ea6c3d06a28,61364a244f077ef677c6d4ba,,,,,,,,
