key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
j,3.263,0,0,0,37,1,61336aa3494f26b27c63408f,ROORORO,ROORORR,20.42602454,21.57657071,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
f,3.4401,0,1,1,11,1,61336aa3494f26b27c63408f,OORORRO,OORORRR,22.18365867,22.6797523,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,2.8386,0,2,2,52,1,61336aa3494f26b27c63408f,RROROOO,RROROOR,22.18365867,22.11097995,series_0,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
f,2.4374,0,3,3,35,1,61336aa3494f26b27c63408f,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,1.9669,0,4,4,39,1,61336aa3494f26b27c63408f,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
f,2.5664,0,5,5,34,1,61336aa3494f26b27c63408f,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,2.4274,0,6,6,48,1,61336aa3494f26b27c63408f,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,1.7773,0,7,7,33,1,61336aa3494f26b27c63408f,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,2.2769,0,8,8,58,1,61336aa3494f26b27c63408f,RRROROO,RRROROR,22.1285618,21.37121559,series_0,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,1.9663,0,9,9,21,1,61336aa3494f26b27c63408f,ORORORO,ORORORR,20.39515459,22.06781359,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
j,2.9012,0,10,10,2,1,61336aa3494f26b27c63408f,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,61336aa3494f26b27c63408f,Mężczyzna,19,2021-09-06_18h19.36.645,rantool2,2021.1.4,Win32,59.98440405,6135e006383e6ea6c3d06a28,61363f4a8895d6099d592499,,,,,,,,
