key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
0,,,0,0,0,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""comma""]",0,[0.5504000000022415],1,0,1,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""period""]",0,[0.2680000000000007],2,0,2,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""comma""]",0,[0.2669999999999959],3,0,3,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""period"",""comma""]",0,"[0.28739999999851307,1.9330999999977507]",4,0,4,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
0,0,,5,0,5,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""period""]",0,[0.3703999999985115],6,0,6,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""comma""]",0,[0.26849999999998886],7,0,7,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""period""]",0,[0.2216999999992595],8,0,8,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
"[""comma""]",0,[0.37430000000074415],9,0,9,0,1,5f1d68503e85b268dcfb91fd,Kobieta,20,2021-07-13_21h57.56.509,rantool2,2021.1.4,Win32,59.99880002,5f1d68503e85b268dcfb91fd,60d9d14f4a8a35a482e0d9bf,60edf021ad91ad0abf94715b,,,,,,,,,,,,
