key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
"[""comma""]",0,[0.5660999999940515],0,0,0,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.35550000000000637],1,0,1,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.29049999999999443],2,0,2,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.25109999999403954],3,0,3,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.31709999999404204],4,0,4,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.3010999999940367],5,0,5,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.26850000000000307],6,0,6,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2681999999880986],7,0,7,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.2707000000178823],8,0,8,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.28440000000594523],9,0,9,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.318599999994035],10,0,10,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.261600000023833],11,0,11,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.28400000000002024],12,0,12,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.28320000001787093],13,0,13,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2747999999821218],14,0,14,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3060000000000116],15,0,15,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.273799999982117],16,0,16,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3169000000059725],17,0,17,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.26479999998210246],18,0,18,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.23389999997615973],19,0,19,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.2504000000059534],20,0,20,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.2838999999761711],21,0,21,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.31030000001192093],22,0,22,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3411000000238573],23,0,23,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.3567999999821154],24,0,24,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2758999999761613],25,0,25,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.2674000000059493],26,0,26,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.28370000001788753],27,0,27,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.37119999998807884],28,0,28,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.3943999999761445],29,0,29,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2892000000178996],30,0,30,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.28819999998808044],31,0,31,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3363000000119314],32,0,32,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.6713000000119393],33,0,33,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3166999999880886],34,0,34,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2515999999940277],35,0,35,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.25059999999405136],36,0,36,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.4508000000119239],37,0,37,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.27719999998808476],38,0,38,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.3675999999940416],39,0,39,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.23500000000001364],40,0,40,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.28329999998211974],41,0,41,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.29060000002382935],42,0,42,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2581999999880793],43,0,43,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma"",""period""]",0,"[0.25680000001190706,1.947499999999991]",44,0,44,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
0,0,,45,0,45,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.27159999999403794],46,0,46,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.27139999997618247],47,0,47,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2837000000178591],48,0,48,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.27909999999405954],49,0,49,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.37249999999997385],50,0,50,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2845999999940432],51,0,51,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.3009999999999877],52,0,52,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.30030000001193],53,0,53,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.30069999998806907],54,0,54,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""period""]",0,[0.2845000000000084],55,0,55,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.27299999999999613],56,0,56,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
"[""comma""]",0,[0.2884999999999991],57,0,57,0,1,60bf87acf2da5a898c0247db,Kobieta,20,2021-07-13_22h05.09.993,rantool2,2021.1.4,Win32,60.47777442,60bf87acf2da5a898c0247db,60d9d14f4a8a35a482e0d9bf,60edf1b7f2e4e3e4f90a838a,,,,,,,,,,,,
