key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_7.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,0,0,61,1,610838a0f1ffc75feae4bdc5,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,1,1,49,1,610838a0f1ffc75feae4bdc5,RROOORO,RROOORR,21.76276513,22.53364006,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,2,2,58,1,610838a0f1ffc75feae4bdc5,RRROROO,RRROROR,22.1285618,21.37121559,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,3,3,36,1,610838a0f1ffc75feae4bdc5,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,4,4,30,1,610838a0f1ffc75feae4bdc5,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,5,5,3,1,610838a0f1ffc75feae4bdc5,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,6,6,8,1,610838a0f1ffc75feae4bdc5,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,7,7,37,1,610838a0f1ffc75feae4bdc5,ROORORO,ROORORR,20.42602454,21.57657071,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,8,8,52,1,610838a0f1ffc75feae4bdc5,RROROOO,RROROOR,22.18365867,22.11097995,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,9,9,53,1,610838a0f1ffc75feae4bdc5,RRORORO,RRORORR,20.71309134,21.90565814,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,10,10,55,1,610838a0f1ffc75feae4bdc5,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,11,11,16,1,610838a0f1ffc75feae4bdc5,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
f,0,12,12,34,1,610838a0f1ffc75feae4bdc5,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,1.1294,,,,,,,,
j,0,13,13,45,1,610838a0f1ffc75feae4bdc5,RORRORO,RORRORR,20.78182524,21.22513037,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,2.3215,,,,,,,,
j,0,14,14,35,1,610838a0f1ffc75feae4bdc5,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,2.2598,,,,,,,,
j,0,15,15,42,1,610838a0f1ffc75feae4bdc5,ROROROO,ROROROR,20.39515459,19.8361834,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,1.6008,,,,,,,,
f,0,16,16,22,1,610838a0f1ffc75feae4bdc5,ORORROO,ORORROR,22.02732763,21.57657071,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,3.0196,,,,,,,,
j,0,17,17,43,1,610838a0f1ffc75feae4bdc5,RORORRO,RORORRR,20.71309134,21.07490964,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,2.9013,,,,,,,,
j,0,18,18,48,1,610838a0f1ffc75feae4bdc5,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,1.6724,,,,,,,,
f,0,19,19,29,1,610838a0f1ffc75feae4bdc5,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,3.2067,,,,,,,,
j,0,20,20,26,1,610838a0f1ffc75feae4bdc5,ORROROO,ORROROR,22.02732763,21.71443381,series_0,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,2.3692,,,,,,,,
f,0,21,21,18,1,610838a0f1ffc75feae4bdc5,OROOROO,OROOROR,20.84860893,21.22513037,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,1.3569,,,,,,,,
,0,22,22,28,1,610838a0f1ffc75feae4bdc5,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,23,23,6,1,610838a0f1ffc75feae4bdc5,OOORROO,OOORROR,21.12383932,21.38562617,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
,0,24,24,1,1,610838a0f1ffc75feae4bdc5,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,610838a0f1ffc75feae4bdc5,Kobieta,24,2021-09-06_19h00.09.083,rantool2,2021.1.4,Win32,59.80503558,6135e006383e6ea6c3d06a28,613648dbb5fcd7529008ebf8,,,,,,,,,
