key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID
,0,19,19,13,1,6124fe0ef8d0188d927ad3c9,OORRORO,OORRORR,21.66733484,22.11181017,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,20,20,23,1,6124fe0ef8d0188d927ad3c9,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,21,21,32,1,6124fe0ef8d0188d927ad3c9,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,22,22,43,1,6124fe0ef8d0188d927ad3c9,RORORRO,RORORRR,20.71309134,21.07490964,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,23,23,34,1,6124fe0ef8d0188d927ad3c9,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,24,24,24,1,6124fe0ef8d0188d927ad3c9,ORROOOO,ORROOOR,21.12383932,22.07102821,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,25,25,6,1,6124fe0ef8d0188d927ad3c9,OOORROO,OOORROR,21.12383932,21.38562617,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,26,26,5,1,6124fe0ef8d0188d927ad3c9,OOORORO,OOORORR,20.87963819,21.9921709,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,27,27,27,1,6124fe0ef8d0188d927ad3c9,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,28,28,37,1,6124fe0ef8d0188d927ad3c9,ROORORO,ROORORR,20.42602454,21.57657071,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,29,29,1,1,6124fe0ef8d0188d927ad3c9,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,30,30,18,1,6124fe0ef8d0188d927ad3c9,OROOROO,OROOROR,20.84860893,21.22513037,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,31,31,46,1,6124fe0ef8d0188d927ad3c9,RORRROO,RORRROR,22.00300695,21.24781509,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,32,32,61,1,6124fe0ef8d0188d927ad3c9,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,33,33,30,1,6124fe0ef8d0188d927ad3c9,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,34,34,28,1,6124fe0ef8d0188d927ad3c9,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,35,35,0,1,6124fe0ef8d0188d927ad3c9,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,36,36,41,1,6124fe0ef8d0188d927ad3c9,ROROORO,ROROORR,20.42602454,21.71443381,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,37,37,21,1,6124fe0ef8d0188d927ad3c9,ORORORO,ORORORR,20.39515459,22.06781359,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,38,38,4,1,6124fe0ef8d0188d927ad3c9,OOOROOO,OOOROOR,19.91402015,21.21223021,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,39,39,42,1,6124fe0ef8d0188d927ad3c9,ROROROO,ROROROR,20.39515459,19.8361834,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,40,40,12,1,6124fe0ef8d0188d927ad3c9,OORROOO,OORROOR,21.30250474,22.02786418,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,41,41,48,1,6124fe0ef8d0188d927ad3c9,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,42,42,9,1,6124fe0ef8d0188d927ad3c9,OOROORO,OOROORR,21.07991943,22.2428857,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,43,43,19,1,6124fe0ef8d0188d927ad3c9,OROORRO,OROORRR,21.73568164,22.11181017,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,44,44,38,1,6124fe0ef8d0188d927ad3c9,ROORROO,ROORROR,21.79500819,21.36812781,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,45,45,63,1,6124fe0ef8d0188d927ad3c9,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,46,46,50,1,6124fe0ef8d0188d927ad3c9,RROOROO,RROOROR,21.73568164,22.02566557,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,47,47,59,1,6124fe0ef8d0188d927ad3c9,RRRORRO,RRRORRR,21.56657303,20.89823192,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,48,48,57,1,6124fe0ef8d0188d927ad3c9,RRROORO,RRROORR,21.82425538,22.07102821,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,49,49,7,1,6124fe0ef8d0188d927ad3c9,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,50,50,45,1,6124fe0ef8d0188d927ad3c9,RORRORO,RORRORR,20.78182524,21.22513037,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,51,51,51,1,6124fe0ef8d0188d927ad3c9,RROORRO,RROORRR,21.89852628,22.02786418,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,52,52,29,1,6124fe0ef8d0188d927ad3c9,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,53,53,52,1,6124fe0ef8d0188d927ad3c9,RROROOO,RROROOR,22.18365867,22.11097995,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,54,54,53,1,6124fe0ef8d0188d927ad3c9,RRORORO,RRORORR,20.71309134,21.90565814,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,55,55,58,1,6124fe0ef8d0188d927ad3c9,RRROROO,RRROROR,22.1285618,21.37121559,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,56,56,56,1,6124fe0ef8d0188d927ad3c9,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,57,57,35,1,6124fe0ef8d0188d927ad3c9,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
