key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
"[""period""]",0,[1.030600000001499],0,0,0,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.6001999999992478],1,0,1,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.4576999999992637],2,0,2,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.28640000000224575],3,0,3,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.5208000000007473],4,0,4,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.3213999999985049],5,0,5,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.2926000000014852],6,0,6,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.3321999999992613],7,0,7,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.5504999999999995],8,0,8,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.3852999999970166],9,0,9,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.35060000000149216],10,0,10,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.3056999999992627],11,0,11,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.4684000000022337],12,0,12,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.33620000000297523],13,0,13,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.44169999999925835],14,0,14,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.5198000000007426],15,0,15,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.7088000000007355],16,0,16,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.6206999999992604],17,0,17,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.5215999999977612],18,0,18,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.6516000000014941],19,0,19,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.4296999999992579],20,0,20,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.48470000000298796],21,0,21,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.45169999999924926],22,0,22,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.37000000000000455],23,0,23,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.28899999999998727],24,0,24,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.4863000000007389],25,0,25,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.4738000000007503],26,0,26,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.3248999999985074],27,0,27,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.38619999999923493],28,0,28,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""period""]",0,[0.40060000000150353],29,0,29,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
"[""comma""]",0,[0.304399999998509],30,0,30,0,1,60e2d5dcca60e8043355c326,Mężczyzna,23,2021-07-13_21h22.14.194,rantool2,2021.1.4,MacIntel,59.99880002,60e2d5dcca60e8043355c326,60d9d14f4a8a35a482e0d9bf,60ede75a4bac6e1c3ea11b12,,,,,,,,,,,,
