key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
0,,,0,0,0,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.334900000005959],1,0,1,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.3001999999880809],2,0,2,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""period""]",0,[0.22090000000596888],3,0,3,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.25709999999403976],4,0,4,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""period""]",0,[0.2507000000178863],5,0,5,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.27809999999404056],6,0,6,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""period""]",0,[0.2674999999999983],7,0,7,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.38370000001788185],8,0,8,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
"[""comma""]",0,[0.27670000001788253],9,0,9,0,1,60ec2a3c77245c91cd44b93a,Kobieta,19,2021-07-13_21h09.09.411,rantool2,2021.1.4,Win32,59.91611744,60ec2a3c77245c91cd44b93a,60d9d14f4a8a35a482e0d9bf,60ede4a7087668ff6201e9e9,,,,,,,,,,,,
