key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
"[""comma""]",0,[0.7569000000059702],0,0,0,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.3162000000029792],1,0,1,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.28790000000594773],2,0,2,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.3873999999910609],3,0,3,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.28439999999105225],4,0,4,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.30189999999106476],5,0,5,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.3183999999910583],6,0,6,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.3190000000000026],7,0,7,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.321800000011919],8,0,8,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.36789999999106726],9,0,9,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.49500000000000455],10,0,10,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.28650000000000375],11,0,11,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.3178000000119283],12,0,12,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.28390000000595705],13,0,13,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.2620999999940352],14,0,14,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.28629999999702704],15,0,15,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.2896000000089316],16,0,16,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.2952000000029784],17,0,17,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.2987000000029809],18,0,18,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.35229999999702954],19,0,19,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""period""]",0,[0.3557000000029973],20,0,20,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma"",""period""]",0,"[0.28859999999403385,1.8879000000059705]",21,0,21,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
0,0,,22,0,22,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.3015999999940391],23,0,23,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.317100000008935],24,0,24,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
"[""comma""]",0,[0.3014999999999759],25,0,25,0,1,5d1dbd7cba5479001656ba2d,Kobieta,31,2021-07-13_21h52.08.461,rantool2,2021.1.4,Win32,59.85156811,5d1dbd7cba5479001656ba2d,60d9d14f4a8a35a482e0d9bf,60edeec75e9fe3d329f03d55,,,,,,,,,,,,
