key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,2.1386,0,0,0,36,1,60eacd76a17fd05e1c5874ef,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
j,1.2483,0,1,1,40,1,60eacd76a17fd05e1c5874ef,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
j,2.0533,0,2,2,18,1,60eacd76a17fd05e1c5874ef,OROOROO,OROOROR,20.84860893,21.22513037,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
f,1.4516,0,3,3,60,1,60eacd76a17fd05e1c5874ef,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
j,1.7838,0,4,4,22,1,60eacd76a17fd05e1c5874ef,ORORROO,ORORROR,22.02732763,21.57657071,series_0,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
f,3.4567,0,5,5,61,1,60eacd76a17fd05e1c5874ef,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
j,2.0844,0,6,6,30,1,60eacd76a17fd05e1c5874ef,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
f,2.636,0,7,7,11,1,60eacd76a17fd05e1c5874ef,OORORRO,OORORRR,22.18365867,22.6797523,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
j,1.8677,0,8,8,28,1,60eacd76a17fd05e1c5874ef,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
f,1.4813,0,9,9,19,1,60eacd76a17fd05e1c5874ef,OROORRO,OROORRR,21.73568164,22.11181017,series_1,60eacd76a17fd05e1c5874ef,Kobieta,20,2021-09-06_18h09.26.250,rantool2,2021.1.4,Win32,60.10699044,6135e006383e6ea6c3d06a28,61363d03144b7a533845d41c,,,,,,,,
