key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,2.0698,0,0,0,52,1,612a9328c5e8bd6c4813d6a1,RROROOO,RROROOR,22.18365867,22.11097995,series_0,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
f,3.3288,0,1,1,7,1,612a9328c5e8bd6c4813d6a1,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
j,2.5717,0,2,2,34,1,612a9328c5e8bd6c4813d6a1,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
f,2.0692,0,3,3,41,1,612a9328c5e8bd6c4813d6a1,ROROORO,ROROORR,20.42602454,21.71443381,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
j,1.9,0,4,4,8,1,612a9328c5e8bd6c4813d6a1,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
f,1.7902,0,5,5,50,1,612a9328c5e8bd6c4813d6a1,RROOROO,RROOROR,21.73568164,22.02566557,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
j,1.5838,0,6,6,23,1,612a9328c5e8bd6c4813d6a1,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
f,2.1032,0,7,7,26,1,612a9328c5e8bd6c4813d6a1,ORROROO,ORROROR,22.02732763,21.71443381,series_0,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
j,1.355,0,8,8,0,1,612a9328c5e8bd6c4813d6a1,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
f,2.684,0,9,9,54,1,612a9328c5e8bd6c4813d6a1,RRORROO,RRORROR,21.55250791,20.9984461,series_0,612a9328c5e8bd6c4813d6a1,Mężczyzna,19,2021-09-06_18h48.41.379,rantool2,2021.1.4,Win32,59.55926147,6135e006383e6ea6c3d06a28,613646481beeac12e6ca3537,,,,,,,,
