key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison
0,,,0,0,0,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
0,,,1,0,1,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""comma""]",0,[0.5519999999999996],2,0,2,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""comma""]",0,[1.8370000000000033],3,0,3,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
0,0,,4,0,4,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""period""]",0,[0.6689999999999969],5,0,5,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""period""]",0,[0.30299999999999727],6,0,6,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""comma""]",0,[0.23799999999999955],7,0,7,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""comma"",""comma""]",0,"[0.054000000000002046,1.9339999999999975]",8,0,8,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
"[""comma""]",0,[0.806999999999988],9,0,9,0,1,5ecba475289654012fb25405,Mężczyzna,20,2021-07-13_21h19.48.743,rantool2,2021.1.4,Win32,60.0240096,5ecba475289654012fb25405,60d9d14f4a8a35a482e0d9bf,60ede743fb0c5870fac020e6,,,,,,,,,,,,
