key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,2.4092,0,0,0,63,1,5faabf6892918949deab90e4,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
j,3.2721,0,1,1,36,1,5faabf6892918949deab90e4,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
j,2.2287,0,2,2,21,1,5faabf6892918949deab90e4,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
f,1.8912,0,3,3,41,1,5faabf6892918949deab90e4,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
f,3.319,0,4,4,56,1,5faabf6892918949deab90e4,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
f,1.284,0,5,5,58,1,5faabf6892918949deab90e4,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
j,1.4936,0,6,6,54,1,5faabf6892918949deab90e4,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
f,2.369,0,7,7,13,1,5faabf6892918949deab90e4,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
j,2.2739,0,8,8,61,1,5faabf6892918949deab90e4,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
f,1.9262,0,9,9,52,1,5faabf6892918949deab90e4,RROROOO,RROROOR,22.18365867,22.11097995,series_0,5faabf6892918949deab90e4,Mężczyzna,18,2021-09-06_19h17.32.143,rantool2,2021.1.4,Win32,60.96817461,6135e006383e6ea6c3d06a28,61364d1b0a158a48bbe3f2dd,,,,,,,,
