key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
j,1.2523,0,0,0,15,1,5e8a061b497d61038af39539,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.7365,0,1,1,54,1,5e8a061b497d61038af39539,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.6255,0,2,2,63,1,5e8a061b497d61038af39539,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.5246,0,3,3,6,1,5e8a061b497d61038af39539,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.8609,0,4,4,55,1,5e8a061b497d61038af39539,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.3616,0,5,5,32,1,5e8a061b497d61038af39539,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.1243,0,6,6,40,1,5e8a061b497d61038af39539,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.4554,0,7,7,7,1,5e8a061b497d61038af39539,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.2707,0,8,8,62,1,5e8a061b497d61038af39539,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.5509,0,9,9,17,1,5e8a061b497d61038af39539,OROOORO,OROOORR,21.03750787,22.12173012,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.6961,0,10,10,48,1,5e8a061b497d61038af39539,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.1344,0,11,11,56,1,5e8a061b497d61038af39539,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.6914,0,12,12,51,1,5e8a061b497d61038af39539,RROORRO,RROORRR,21.89852628,22.02786418,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.3111,0,13,13,10,1,5e8a061b497d61038af39539,OOROROO,OOROROR,21.31236711,21.07490964,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.4875,0,14,14,35,1,5e8a061b497d61038af39539,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.6013,0,15,15,21,1,5e8a061b497d61038af39539,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.1074,0,16,16,2,1,5e8a061b497d61038af39539,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.6795,0,17,17,61,1,5e8a061b497d61038af39539,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.9748,0,18,18,60,1,5e8a061b497d61038af39539,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.8011,0,19,19,29,1,5e8a061b497d61038af39539,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.5683,0,20,20,41,1,5e8a061b497d61038af39539,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.0939,0,21,21,27,1,5e8a061b497d61038af39539,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.0768,0,22,22,30,1,5e8a061b497d61038af39539,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,0.973,0,23,23,12,1,5e8a061b497d61038af39539,OORROOO,OORROOR,21.30250474,22.02786418,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.433,0,24,24,26,1,5e8a061b497d61038af39539,ORROROO,ORROROR,22.02732763,21.71443381,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.3187,0,25,25,20,1,5e8a061b497d61038af39539,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.442,0,26,26,23,1,5e8a061b497d61038af39539,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.0447,0,27,27,47,1,5e8a061b497d61038af39539,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.8557,0,28,28,22,1,5e8a061b497d61038af39539,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.3428,0,29,29,46,1,5e8a061b497d61038af39539,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.5232,0,30,30,34,1,5e8a061b497d61038af39539,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.4037,0,31,31,58,1,5e8a061b497d61038af39539,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.9034,0,32,32,49,1,5e8a061b497d61038af39539,RROOORO,RROOORR,21.76276513,22.53364006,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,3.8486,0,33,33,45,1,5e8a061b497d61038af39539,RORRORO,RORRORR,20.78182524,21.22513037,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.8633,0,34,34,36,1,5e8a061b497d61038af39539,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,2.3188,0,35,35,14,1,5e8a061b497d61038af39539,OORRROO,OORRROR,22.24142883,22.16977179,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,2.3062,0,36,36,57,1,5e8a061b497d61038af39539,RRROORO,RRROORR,21.82425538,22.07102821,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.5238,0,37,37,38,1,5e8a061b497d61038af39539,ROORROO,ROORROR,21.79500819,21.36812781,series_0,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.9815,0,38,38,11,1,5e8a061b497d61038af39539,OORORRO,OORORRR,22.18365867,22.6797523,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
f,1.5796,0,39,39,8,1,5e8a061b497d61038af39539,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
j,1.5511,0,40,40,0,1,5e8a061b497d61038af39539,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,5e8a061b497d61038af39539,Mężczyzna,19,2021-09-06_19h02.29.646,rantool2,2021.1.4,Win32,59.91611744,6135e006383e6ea6c3d06a28,6136493191d3de7c0d887431,,,,,,,,
