key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,2.5402,0,0,0,17,1,5fae3c8cd65fe6291c614cce,OROOORO,OROOORR,21.03750787,22.12173012,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.5361,0,1,1,43,1,5fae3c8cd65fe6291c614cce,RORORRO,RORORRR,20.71309134,21.07490964,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.5506,0,2,2,1,1,5fae3c8cd65fe6291c614cce,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.7959,0,3,3,11,1,5fae3c8cd65fe6291c614cce,OORORRO,OORORRR,22.18365867,22.6797523,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.3709,0,4,4,13,1,5fae3c8cd65fe6291c614cce,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.4864,0,5,5,60,1,5fae3c8cd65fe6291c614cce,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.1875,0,6,6,18,1,5fae3c8cd65fe6291c614cce,OROOROO,OROOROR,20.84860893,21.22513037,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.3693,0,7,7,61,1,5fae3c8cd65fe6291c614cce,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.8264,0,8,8,49,1,5fae3c8cd65fe6291c614cce,RROOORO,RROOORR,21.76276513,22.53364006,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.467,0,9,9,12,1,5fae3c8cd65fe6291c614cce,OORROOO,OORROOR,21.30250474,22.02786418,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.5166,0,10,10,27,1,5fae3c8cd65fe6291c614cce,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.2794,0,11,11,14,1,5fae3c8cd65fe6291c614cce,OORRROO,OORRROR,22.24142883,22.16977179,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.7072,0,12,12,20,1,5fae3c8cd65fe6291c614cce,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.8093,0,13,13,54,1,5fae3c8cd65fe6291c614cce,RRORROO,RRORROR,21.55250791,20.9984461,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.0166,0,14,14,24,1,5fae3c8cd65fe6291c614cce,ORROOOO,ORROOOR,21.12383932,22.07102821,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.7427,0,15,15,50,1,5fae3c8cd65fe6291c614cce,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.4247,0,16,16,48,1,5fae3c8cd65fe6291c614cce,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.3194,0,17,17,7,1,5fae3c8cd65fe6291c614cce,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.3686,0,18,18,46,1,5fae3c8cd65fe6291c614cce,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.8801,0,19,19,30,1,5fae3c8cd65fe6291c614cce,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.3836,0,20,20,59,1,5fae3c8cd65fe6291c614cce,RRRORRO,RRRORRR,21.56657303,20.89823192,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.7197,0,21,21,45,1,5fae3c8cd65fe6291c614cce,RORRORO,RORRORR,20.78182524,21.22513037,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.2587,0,22,22,51,1,5fae3c8cd65fe6291c614cce,RROORRO,RROORRR,21.89852628,22.02786418,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.3121,0,23,23,40,1,5fae3c8cd65fe6291c614cce,ROROOOO,ROROOOR,20.87963819,21.37121559,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.2592,0,24,24,5,1,5fae3c8cd65fe6291c614cce,OOORORO,OOORORR,20.87963819,21.9921709,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.93,0,25,25,33,1,5fae3c8cd65fe6291c614cce,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.6713,0,26,26,4,1,5fae3c8cd65fe6291c614cce,OOOROOO,OOOROOR,19.91402015,21.21223021,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.7674,0,27,27,16,1,5fae3c8cd65fe6291c614cce,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.8799,0,28,28,38,1,5fae3c8cd65fe6291c614cce,ROORROO,ROORROR,21.79500819,21.36812781,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.1832,0,29,29,36,1,5fae3c8cd65fe6291c614cce,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.2452,0,30,30,6,1,5fae3c8cd65fe6291c614cce,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.5551,0,31,31,63,1,5fae3c8cd65fe6291c614cce,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.5999,0,32,32,8,1,5fae3c8cd65fe6291c614cce,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.6034,0,33,33,10,1,5fae3c8cd65fe6291c614cce,OOROROO,OOROROR,21.31236711,21.07490964,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.2591,0,34,34,26,1,5fae3c8cd65fe6291c614cce,ORROROO,ORROROR,22.02732763,21.71443381,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.4953,0,35,35,53,1,5fae3c8cd65fe6291c614cce,RRORORO,RRORORR,20.71309134,21.90565814,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.4542,0,36,36,52,1,5fae3c8cd65fe6291c614cce,RROROOO,RROROOR,22.18365867,22.11097995,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.9218,0,37,37,41,1,5fae3c8cd65fe6291c614cce,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.1872,0,38,38,55,1,5fae3c8cd65fe6291c614cce,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.5473,0,39,39,56,1,5fae3c8cd65fe6291c614cce,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.5399,0,40,40,35,1,5fae3c8cd65fe6291c614cce,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.1265,0,41,41,57,1,5fae3c8cd65fe6291c614cce,RRROORO,RRROORR,21.82425538,22.07102821,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.4593,0,42,42,42,1,5fae3c8cd65fe6291c614cce,ROROROO,ROROROR,20.39515459,19.8361834,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.9766,0,43,43,62,1,5fae3c8cd65fe6291c614cce,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.7369,0,44,44,15,1,5fae3c8cd65fe6291c614cce,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,3.1522,0,45,45,29,1,5fae3c8cd65fe6291c614cce,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,4.3491,0,46,46,19,1,5fae3c8cd65fe6291c614cce,OROORRO,OROORRR,21.73568164,22.11181017,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.9,0,47,47,44,1,5fae3c8cd65fe6291c614cce,RORROOO,RORROOR,21.66733484,22.02566557,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.5053,0,48,48,28,1,5fae3c8cd65fe6291c614cce,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.4503,0,49,49,21,1,5fae3c8cd65fe6291c614cce,ORORORO,ORORORR,20.39515459,22.06781359,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.9009,0,50,50,23,1,5fae3c8cd65fe6291c614cce,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.8774,0,51,51,2,1,5fae3c8cd65fe6291c614cce,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.0674,0,52,52,25,1,5fae3c8cd65fe6291c614cce,ORROORO,ORROORR,21.79500819,22.61624387,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.9331,0,53,53,3,1,5fae3c8cd65fe6291c614cce,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.4196,0,54,54,37,1,5fae3c8cd65fe6291c614cce,ROORORO,ROORORR,20.42602454,21.57657071,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.2902,0,55,55,47,1,5fae3c8cd65fe6291c614cce,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.371,0,56,56,32,1,5fae3c8cd65fe6291c614cce,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.2513,0,57,57,22,1,5fae3c8cd65fe6291c614cce,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.1041,0,58,58,31,1,5fae3c8cd65fe6291c614cce,ORRRRRO,ORRRRRR,22.16413392,20.74050628,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.9096,0,59,59,34,1,5fae3c8cd65fe6291c614cce,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,1.8649,0,60,60,58,1,5fae3c8cd65fe6291c614cce,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,1.8498,0,61,61,0,1,5fae3c8cd65fe6291c614cce,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
j,2.5328,0,62,62,39,1,5fae3c8cd65fe6291c614cce,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
f,2.1925,0,63,63,9,1,5fae3c8cd65fe6291c614cce,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,,,,,,,,
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.7706999999992661],0,0,0,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[1.1255000000000166],1,0,1,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.27700000000001523],2,0,2,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.2771000000014965],3,0,3,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.4615000000000009],4,0,4,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.30559999999962884],5,0,5,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.28459999999961383],6,0,6,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.24609999999961474],7,0,7,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.34869999999926904],8,0,8,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.29509999999962133],9,0,9,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.26900000000000546],10,0,10,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.2566999999992561],11,0,11,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.2613000000007446],12,0,12,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.22130000000075256],13,0,13,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.25229999999888264],14,0,14,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""period""]",0,[0.2295000000000016],15,0,15,0,1
,,,,,,,5fae3c8cd65fe6291c614cce,,,,,,5fae3c8cd65fe6291c614cce,Mężczyzna,23,2021-09-06_19h24.10.524,rantool2,2021.1.4,Win32,59.69080165,6135e006383e6ea6c3d06a28,61364e9db14b6a14215aa390,"[""comma""]",0,[0.24559999999962656],16,0,16,0,1
